位号,角色,数量,类别,功能,默认装配,型号,LCSC编码,嘉立创分类(缓存快照),库存(缓存快照),封装,关键参数,参数来源,选用理由 / 不推荐理由,假设编号
J1,基线,1,连接器,USB-C 输入（只用 VBUS/GND/CC1/CC2，不做 PD）,装,TYPE-C-31-M-12,C165948,Extended Part,1479,USB-C 16P SMD,额定电流、插拔寿命、焊盘图未核,缓存库 JSON / 待原厂数据手册核对,16P 带 CC1/CC2，可做 Rd 下拉声明受电设备；仓库已有缓存库封装可直接用,AS-31-dock-23
J1,备选1,-,连接器,,,6P 简易 USB-C 母座（无 CC 针）,待检索,-,-,USB-C 6P,-,待检索,不推荐：无 CC 针就无法以 5.1 kΩ Rd 声明受电设备，部分 Type-C 源不会输出 VBUS,
J1,备选2,-,连接器,,,16P 带定位柱其他型号,待检索,-,-,USB-C 16P,-,待检索,缺料替代；换型必须重核焊盘图与定位柱开孔（机械任务）,
F1,基线,1,保护,输入保险；硬故障时切断适配器，不参与正常限流,装,PPTC 或一次性保险丝 2 A,待检索,-,-,1206,I_hold 2 A / I_trip ≥4 A（提案）,待原厂数据手册核对,正常限流由 U_CHG 的 ILIM 完成；F1 只做最后一道,
F1,备选1,-,保护,,,不装保险，只靠 U_CHG OVP 与 TVS,待检索,-,-,-,-,-,不推荐：电池或 IN 侧硬短路时没有任何器件切断适配器,
D1,基线,1,保护,VBUS 单向 TVS 对地,装,SMAJ5.0A 类,待检索,-,-,SMA,VRWM 5 V 级；VBR/VC/IPP 未核,待原厂数据手册核对,U_CHG 自带 10.5 V OVP、IN 耐 26 V，故不另加输入 OVP 器件，只做浪涌/ESD,
D1,备选1,-,保护,,,SMBJ5.0A（更大功率）,待检索,-,-,SMB,-,待原厂数据手册核对,缺料替代；封装更大，占用 USB-C 附近空间,
R_CC1,基线,1,电阻,CC1 下拉 Rd,装,0603WAF5101T5E,C23186,Basic Part,1796800,R0603,5.1 kΩ ±1 %,缓存库 JSON,USB Type-C 规范 Sink 的 Rd,
R_CC2,基线,1,电阻,CC2 下拉 Rd,装,0603WAF5101T5E,C23186,Basic Part,1796800,R0603,5.1 kΩ ±1 %,缓存库 JSON,同上,
C_IN,基线,1,电容,U_CHG 输入去耦,装,10 µF X5R 25 V 0805,待检索,-,-,C0805,10 µF ±20 % 25 V,待检索,25 V 档为 5 V 上留足直流偏压裕量,
C_IN,备选1,-,电容,,,CL10A106MA8NRNC（10 µF 25 V 0603）,C96446,Basic Part,0（快照）,C0603,10 µF 25 V,缓存库 JSON,不推荐为首选：缓存快照库存 0，且 0603 在 5 V 偏压下有效电容衰减更大,AS-31-dock-28
U_CHG,基线,1,IC 充电,线性充电 + 电源路径 DPPM（独立式，无 I²C/MCU）,装,BQ24074RGTR,C54313,Extended Part,5564,QFN-16 3×3 + EP,VO(REG) 4.4 V typ；VOVP 10.5 V；ICHG=KISET/RISET；IIN=KILIM/RILIM,原厂数据手册(已打开),唯一同时满足：无需配置、自带输入电流限、系统负载优先、无电池也能供系统（G6-A2 分步上电）,AS-31-dock-4/5
U_CHG,备选1,-,IC 充电,,,BQ24072 / BQ24075（同族不同 VOVP/VO(REG)）,待检索,-,-,QFN-16,同族,原厂数据手册(已打开),缺料替代；换型需重算 POWER_BUDGET 第 4 节的 VSYS 与热预算，不可直接换,
U_CHG,备选2,-,IC 充电,,,TP4056 + 肖特基 + P-MOS 负载共享,待检索,-,-,SOP-8 + 分立,-,待原厂数据手册核对,不推荐：无输入电流限（弱适配器被压垮）、无输入 OVP；边用边充时充电终止判据受 VSYS 负载扰动,
U_CHG,备选3,-,IC 充电,,,IP5306 类电源银行 SoC,待检索,-,-,ESOP-8,-,待原厂数据手册核对,不推荐：轻载数十秒自动关断输出，与 EL-D-01「不接主机也须有输出」直接冲突，且关机后需按键唤醒,
C_OUT,基线,1,电容,U_CHG OUT（VSYS）去耦,装,10 µF X5R 25 V 0805,待检索,-,-,C0805,10 µF ±20 % 25 V,待检索,数据手册建议值,
C_BAT,基线,1,电容,U_CHG BAT（VBAT）去耦,装,10 µF X5R 25 V 0805,待检索,-,-,C0805,10 µF ±20 % 25 V,待检索,数据手册建议值,
R_ISET,基线,1,电阻,快充电流设定 500 mA,装,1.78 kΩ ±1 % 0603（E96）,待检索,-,-,R0603,KISET 890 AΩ typ(797–973) → 500 mA typ(448–547),原厂数据手册(已打开),缓存库只有 1.8 kΩ（C4177，E24）：改用 1.8 kΩ 则 ICHG ≈494 mA（derived），可接受，下单时二选一,AS-31-dock-4
R_ISET,备选1,-,电阻,,,0603WAF1801T5E（1.8 kΩ E24）,C4177,Basic Part,210700,R0603,1.8 kΩ ±1 %,缓存库 JSON,可用替代，ICHG ≈494 mA；若采用须在 POWER_BUDGET 第 4.2 节注记,
R_ILIM_CHG,基线,1,电阻,输入电流限设定 1.46 A,装,1.1 kΩ ±1 % 0603,待检索,-,-,R0603,KILIM 1610 AΩ typ(1500–1720) → 1.46 A typ(1.36–1.56),原厂数据手册(已打开),允许阻值 1.1–8 kΩ；取下限以取得最大输入能力,AS-31-dock-5
R_TMR,基线,1,电阻,安全定时器延长位,DNP,71.5 kΩ ±1 % 0603（E96）,待检索,-,-,R0603,t ≈ 10 × R(kΩ) × 48 s → ≈9.5 h,原厂数据手册(已打开),默认 TMR 开路（快充 5 h）；若实测常触发定时终止再装,
R_TS_FIX,基线,1,电阻,TS 固定电阻（默认装，TS 恒读约 25 °C）,装,0603WAF1002T5E,C25804,Basic Part,0（快照）,R0603,10 kΩ ±1 %,缓存库 JSON,装此件则充电温度保护不起作用，仅限首版台架；面向用户整机必须改装电池 NTC,AS-31-dock-21/28
R_TS_NTC,基线,1,电阻,0 Ω 连接位：电池 NTC → U_CHG.TS,DNP,0 Ω 0603,待检索,-,-,R0603,0R,待检索,AS-12 确认电池带 NTC 后装此位并拆 R_TS_FIX,AS-31-dock-21
R_LED_PG,基线,1,电阻,LED_PG 限流（取电自 VBUS_IN）,装,1 kΩ ±1 % 0603,待检索,-,-,R0603,1 kΩ；LED ≈3 mA,待检索,PGOOD 开漏最大灌电流 15 mA，1 kΩ 留足裕量,
R_LED_CHG,基线,1,电阻,LED_CHG 限流,装,1 kΩ ±1 % 0603,待检索,-,-,R0603,1 kΩ；LED ≈3 mA,待检索,同上,
LED_PG,基线,1,LED,电源良好指示（绿）,装,0805 绿,待检索,-,-,LED0805,Vf 未核,待原厂数据手册核对,取电自适配器，不计入电池预算,
LED_CHG,基线,1,LED,充电指示（红）,装,0805 红,待检索,-,-,LED0805,Vf 未核,待原厂数据手册核对,同上,
LED_PG,备选1,-,LED,,,17-21SUYC/TR8（0805 黄）,C2296,Basic Part,0（快照）,LED0805,0805,缓存库 JSON,缓存快照库存 0 且为黄色；颜色与库存下单前重核,AS-31-dock-28
J3,基线,1,连接器,电池插座 B+/NTC/B−,装,B3B-PH-SM4-TB(LF)(SN),C160353,Extended Part,1541,JST PH 2.0 mm 卧贴 3P,额定电流未核；针序待与电池线序核对,缓存库 JSON / 待原厂数据手册核对,3 针可同时接 NTC；接电池前必须断电用万用表核对极性,AS-31-dock-19
J3,备选1,-,连接器,,,S3B-PH-K-S（立式 3P）,待检索,-,-,PH 立式 3P,-,待原厂数据手册核对,备选：方向由 mech-dock 决定,
