h2_pin,column,row,u_mm,v_mm,base_pogo,base_net,host_net
1,1,odd,-11.43,-1.27,YES,KEY_UP,GPIO55
2,1,even,-11.43,1.27,YES,KEY_A,GPIO53
3,2,odd,-8.89,-1.27,YES,KEY_DOWN,GPIO19
4,2,even,-8.89,1.27,YES,KEY_B,GPIO48
5,3,odd,-6.35,-1.27,YES,KEY_LEFT,GPIO18
6,3,even,-6.35,1.27,YES,KEY_X,GPIO13
7,4,odd,-3.81,-1.27,YES,KEY_RIGHT,GPIO17
8,4,even,-3.81,1.27,YES,KEY_Y,GPIO12
9,5,odd,-1.27,-1.27,YES,KEY_L,GPIO16
10,5,even,-1.27,1.27,NO,,GPIO14_EEPROM_A0
11,6,odd,1.27,-1.27,YES,KEY_R,GPIO15
12,6,even,1.27,1.27,NO,,GPIO4_SPARE
13,7,odd,3.81,-1.27,NO,,GPIO33_USB_DN
14,7,even,3.81,1.27,NO,,GPIO1_SCL
15,8,odd,6.35,-1.27,NO,,GPIO34_USB_DP
16,8,even,6.35,1.27,NO,,GPIO0_SDA
17,9,odd,8.89,-1.27,YES,DOCK_5V_LIMITED,5V_IN
18,9,even,8.89,1.27,NO,,5V_OUT
19,10,odd,11.43,-1.27,NO,,VCC_3V3
20,10,even,11.43,1.27,YES,DOCK_GND,GND
