Reference,Pin,Pin name,Net,Notes
U1,1,INT#,IO_INT_N,7-bit address 0x20; 16 external pull-ups; interrupt test point only
U1,2,A1,GND,7-bit address 0x20; 16 external pull-ups; interrupt test point only
U1,3,A2,GND,7-bit address 0x20; 16 external pull-ups; interrupt test point only
U1,4,P00,KEY_UP,7-bit address 0x20; 16 external pull-ups; interrupt test point only
U1,5,P01,KEY_DOWN,7-bit address 0x20; 16 external pull-ups; interrupt test point only
U1,6,P02,KEY_LEFT,7-bit address 0x20; 16 external pull-ups; interrupt test point only
U1,7,P03,KEY_RIGHT,7-bit address 0x20; 16 external pull-ups; interrupt test point only
U1,8,P04,KEY_A,7-bit address 0x20; 16 external pull-ups; interrupt test point only
U1,9,P05,KEY_B,7-bit address 0x20; 16 external pull-ups; interrupt test point only
U1,10,P06,KEY_X,7-bit address 0x20; 16 external pull-ups; interrupt test point only
U1,11,P07,KEY_Y,7-bit address 0x20; 16 external pull-ups; interrupt test point only
U1,12,GND,GND,7-bit address 0x20; 16 external pull-ups; interrupt test point only
U1,13,P10,KEY_L,7-bit address 0x20; 16 external pull-ups; interrupt test point only
U1,14,P11,KEY_R,7-bit address 0x20; 16 external pull-ups; interrupt test point only
U1,15,P12,KEY_MODE,7-bit address 0x20; 16 external pull-ups; interrupt test point only
U1,16,P13,GAUGE_ALERT_N,7-bit address 0x20; 16 external pull-ups; interrupt test point only
U1,17,P14,POWER_FAULT_N,7-bit address 0x20; 16 external pull-ups; interrupt test point only
U1,18,P15,SPARE_13,7-bit address 0x20; 16 external pull-ups; interrupt test point only
U1,19,P16,SPARE_14,7-bit address 0x20; 16 external pull-ups; interrupt test point only
U1,20,P17,SPARE_15,7-bit address 0x20; 16 external pull-ups; interrupt test point only
U1,21,A0,GND,7-bit address 0x20; 16 external pull-ups; interrupt test point only
U1,22,SCL,DOCK_SCL,7-bit address 0x20; 16 external pull-ups; interrupt test point only
U1,23,SDA,DOCK_SDA,7-bit address 0x20; 16 external pull-ups; interrupt test point only
U1,24,VCC,DOCK_3V3,7-bit address 0x20; 16 external pull-ups; interrupt test point only
SW1,2,2,GND,
SW1,1,1,KEY_UP,
SW2,2,2,GND,
SW2,1,1,KEY_DOWN,
SW3,2,2,GND,
SW3,1,1,KEY_LEFT,
SW4,2,2,GND,
SW4,1,1,KEY_RIGHT,
SW5,2,2,GND,
SW5,1,1,KEY_A,
SW6,2,2,GND,
SW6,1,1,KEY_B,
SW7,2,2,GND,
SW7,1,1,KEY_X,
SW8,2,2,GND,
SW8,1,1,KEY_Y,
SW9,2,2,GND,
SW9,1,1,KEY_L,
SW10,2,2,GND,
SW10,1,1,KEY_R,
SW11,2,2,GND,
SW11,1,1,KEY_MODE,
R1,1,1,DOCK_3V3,
R1,2,2,KEY_UP,
R2,1,1,DOCK_3V3,
R2,2,2,KEY_DOWN,
R3,1,1,DOCK_3V3,
R3,2,2,KEY_LEFT,
R4,1,1,DOCK_3V3,
R4,2,2,KEY_RIGHT,
R5,1,1,DOCK_3V3,
R5,2,2,KEY_A,
R6,1,1,DOCK_3V3,
R6,2,2,KEY_B,
R7,1,1,DOCK_3V3,
R7,2,2,KEY_X,
R8,1,1,DOCK_3V3,
R8,2,2,KEY_Y,
R9,1,1,DOCK_3V3,
R9,2,2,KEY_L,
R10,1,1,DOCK_3V3,
R10,2,2,KEY_R,
R11,1,1,DOCK_3V3,
R11,2,2,KEY_MODE,
R12,1,1,DOCK_3V3,
R12,2,2,GAUGE_ALERT_N,
R13,1,1,DOCK_3V3,
R13,2,2,POWER_FAULT_N,
R14,1,1,DOCK_3V3,
R14,2,2,SPARE_13,
R15,1,1,DOCK_3V3,
R15,2,2,SPARE_14,
R16,1,1,DOCK_3V3,
R16,2,2,SPARE_15,
R17,1,1,DOCK_3V3,
R17,2,2,IO_INT_N,
C1,1,1,DOCK_3V3,
C1,2,2,GND,
C2,1,1,DOCK_3V3,
C2,2,2,GND,
J1,A1B12,GND,GND,Data pins intentionally NC; verify exact PCB-edge datum and shell solder process
